size,type,time,freq_before_hz,freq_after_hz,level,peak_memory_mb
40,par,0.008559,2094949459,2094950883,10,8.86719
40,built,0.000004,2094950604,2094951063,0,1.74609
40,seq,0.000001,2094950724,2094950906,0,1.80469
40,par,0.000360,2094950904,2094951044,1,1.82812
40,par,0.001112,2094950395,2094950880,2,2.87109
40,par,0.001736,2094950716,2094950205,3,2.85938
40,par,0.002591,2094950278,2094950604,4,4.78906
40,par,0.003302,2094950581,2094950594,5,6.78125
40,par,0.003459,2094950356,2094950758,6,10.9336
40,par,0.005243,2094950399,2094950763,7,8.85156
40,par,0.007684,2094950790,2094950856,8,10.8281
40,par,0.006802,2094950784,2094950287,9,10.8125
40,par,0.007407,2094950778,2094950540,10,12.8906
40,built,0.000004,2094950371,2094951001,0,1.75
40,seq,0.000001,2094950625,2094951122,0,1.80859
40,par,0.000406,2094950568,2094948978,1,2.78906
40,par,0.000972,2094950666,2094950907,2,1.95312
40,par,0.001922,2094950765,2094950483,3,4.74609
40,par,0.002649,2094950309,2094950244,4,4.92578
40,par,0.003190,2094950352,2094950518,5,6.87109
40,par,0.004137,2094950689,2094950194,6,10.7891
40,par,0.004457,2094950710,2094950740,7,10.7656
40,par,0.005038,2094950763,2094950749,8,14.8242
40,par,0.005056,2094950400,2094950543,9,6.99219
40,par,0.005318,2094950681,2094950707,10,12.8516
40,built,0.000003,2094950668,2094951067,0,1.75
900000,seq,0.071283,2094950526,2094950269,0,14.875
900000,par,0.065268,2094950798,2094950601,1,15.5195
900000,par,0.065536,2094950236,2094950265,2,16.8711
900000,par,0.043307,2094950888,2094950560,3,16.9531
900000,par,0.042884,2094948237,2094950898,4,16.9531
900000,par,0.036684,2094950749,2094950798,5,23.0078
900000,par,0.030775,2094950281,2094950468,6,36.9688
900000,par,0.040199,2094950502,2094950234,7,59.0508
900000,par,0.052641,2094950886,2094950485,8,70.9062
900000,par,0.096480,2094950770,2094950786,9,189.004
900000,par,0.425996,2094950431,2094950736,10,116.691
900000,built,0.130120,2094950707,2094950810,0,22.125
900000,seq,0.071243,2094950664,2094950709,0,14.7227
900000,par,0.065242,2094950647,2094949622,1,14.9023
900000,par,0.066167,2094950785,2094950766,2,15.5625
900000,par,0.043980,2094950655,2094950658,3,16.9727
900000,par,0.041772,2094950787,2094950726,4,20.9844
900000,par,0.037483,2094950081,2094950624,5,26.9219
900000,par,0.036288,2094950849,2094950781,6,32.957
900000,par,0.045457,2094950583,2094950420,7,62.9531
900000,par,0.054434,2094950651,2094949236,8,64.957
900000,par,0.138426,2094950783,2094950772,9,124.938
900000,par,0.147947,2094950557,2094950529,10,236.922
900000,built,0.129897,2094950564,2094950438,0,22.1641
900000,seq,0.071275,2094950768,2094950937,0,14.6172
900000,par,0.065241,2094950724,2094950657,1,15.6211
900000,par,0.065431,2094950597,2094950778,2,16.9297
900000,par,0.043895,2094950782,2094950781,3,16.9023
900000,par,0.042770,2094950645,2094950639,4,18.9609
900000,par,0.037421,2094950538,2094950593,5,22.9258
900000,par,0.034624,2094948778,2094950313,6,37.0508
900000,par,0.043497,2094950298,2094950594,7,60.9688
900000,par,0.054852,2094949398,2094949328,8,108.961
900000,par,0.074379,2094950504,2094950749,9,128.926
900000,par,0.393654,2094950594,2094950623,10,145.016
900000,built,0.129547,2094950414,2094949746,0,22.1797
900000,seq,0.071268,2094950423,2094950656,0,14.7305
900000,par,0.065323,2094950508,2094950401,1,15.582
900000,par,0.065441,2094950625,2094950765,2,15.5156
900000,par,0.043762,2094950596,2094950530,3,16.8906
900000,par,0.042605,2094950603,2094950693,4,23.0625
900000,par,0.037610,2094950723,2094950840,5,23.0078
900000,par,0.032957,2094950517,2094950471,6,28.9961
900000,par,0.044064,2094950154,2094948867,7,60.957
900000,par,0.053965,2094950660,2094950528,8,43.4375
